ID_LINEA,ROUTE_ID,DIRECTION_ID,DIRECTION_TO,START_DATE,STOP_NAME,ARRIVAL_TIME,ARRIVAL_DELAY,DEPARTURE_TIME,DEPARTURE_DELAY,CREATED_AT
LineaA_A01,LineaA,0,San Pedrito,2024-02-28,Carabobo,2024-02-28 23:57:50,2.0,2024-02-28 23:58:14,2.4,2024-02-28 22:58:49.452
LineaA_A01,LineaA,0,San Pedrito,2024-02-28,San José de Flores,2024-02-28 23:59:50,4.0,2024-02-29 00:00:14,4.4,2024-02-28 22:58:49.452
LineaA_A01,LineaA,0,San Pedrito,2024-02-28,San Pedrito,2024-02-29 00:00:50,5.0,2024-02-29 00:01:14,5.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Juan Manuel de Rosas,2024-02-28 23:56:50,1.0,2024-02-28 23:57:14,1.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Echeverría,2024-02-28 23:55:50,0.0,2024-02-28 23:56:14,0.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,De Los Incas - Parque Chas,2024-02-28 23:57:50,2.0,2024-02-28 23:58:14,2.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Tronador - Villa Ortúzar,2024-02-28 23:58:50,3.0,2024-02-28 23:59:14,3.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Federico Lacroze,2024-02-29 00:00:50,5.0,2024-02-29 00:01:14,5.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Dorrego,2024-02-28 23:55:50,0.0,2024-02-28 23:56:14,0.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Malabia,2024-02-28 23:57:50,2.0,2024-02-28 23:58:14,2.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Ángel Gallardo,2024-02-29 00:00:50,5.0,2024-02-29 00:01:14,5.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Medrano,2024-02-29 00:01:50,6.0,2024-02-29 00:02:14,6.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Carlos Gardel,2024-02-28 23:57:50,2.0,2024-02-28 23:58:14,2.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Pueyrredón,2024-02-28 23:59:50,4.0,2024-02-29 00:00:14,4.4,2024-02-28 22:58:49.452
LineaB_B11,LineaB,1,Leandro N. Alem,2024-02-28,Pasteur,2024-02-28 23:56:50,1.0,2024-02-28 23:57:14,1.4,2024-02-28 22:58:49.452
